Rank,Feature,N_Encoded_Cols,PRAUC_Drop,PRAUC_Drop_Std,Recall_Drop_at_0.195,Recall_Drop_Std,Importance_Pct,Cumulative_Importance_Pct
1,Tax_Gap,1,0.6792450408375472,0.003864603176110736,0.4562189054726369,0.012238873383573049,66.07994387440559,66.07994387440559
2,Declared_Tax,1,0.28410823422781745,0.010447588200324015,0.08905472636815917,0.0119282000619223,27.639298107913216,93.7192419823188
3,Taxable_Income,1,0.022130660399463365,0.0020129338938233094,-0.007131011608623557,0.004901332240839673,2.152967941137792,95.8722099234566
4,Previous_Violations,1,0.011897705234656164,0.0015178991908075463,0.009286898839137647,0.0037137969612866866,1.157461073504302,97.0296709969609
5,Invoice_Mismatch,1,0.007532248390376369,0.0006947136531636843,0.002736318407960203,0.001937532578034469,0.7327702389559188,97.76244123591682
6,Net_Profit,1,0.005629967894540192,0.0009058258275317019,0.0014925373134328475,0.0022341946244291175,0.5477080289422356,98.31014926485906
7,Industry_Risk,1,0.004224914217345943,0.0009961055327784405,0.0006633499170812573,0.002719936893342745,0.4110182299044111,98.72116749476348
8,Cash_Transactions_Percentage,1,0.0037926633030569423,0.001304869897885504,-0.0007462686567164164,0.0034228470050663698,0.3689669605706553,99.09013445533414
9,Expected_Tax,1,0.0031241288585345767,0.0007051134598018529,0.005721393034825861,0.002120516061781835,0.3039289905949416,99.39406344592908
10,Missing_Documents,1,0.0022785313234948775,0.0011765944000524738,0.007545605306799337,0.0035606816838447564,0.2216655447155878,99.61572899064467
11,Expense_Ratio,1,0.0007937372693106681,0.000222369236628303,0.0019900497512437944,0.0011843164889789022,0.07721825122550614,99.69294724187017
12,Years_in_Business,1,0.0007010840106050686,0.0002522471854207281,-0.0012437810945273853,0.001015543011104155,0.06820453486844981,99.76115177673863
13,Annual_Revenue,1,0.0006796783517527476,0.0001689032453865066,-0.0004975124378109541,0.0012684128143265858,0.0661220982652883,99.82727387500391
14,Profit_Margin,1,0.00046034012132150823,0.00023968509200755244,0.0037313432835820817,0.0012845715907818759,0.04478391088811437,99.87205778589203
15,Business_Type,10,0.0003945532217340434,0.00021128461613211758,0.0003316749585406361,0.001154924401093231,0.038383872064053914,99.91044165795608
16,VAT_Collected,1,0.0003317205071866539,8.390080957665217e-05,0.0014925373134328623,0.0006736350252600418,0.03227122934877046,99.94271288730485
17,Region,9,0.00030362103016730037,0.00016542991720403167,0.00016583747927031804,0.001190107802189683,0.029537588684939515,99.9722504759898
18,Late_Payments,1,0.0001014082455271792,0.00014435546804795433,-0.0008291873963515827,0.0012575249492622856,0.009865439966370857,99.98211591595617
19,Previous_Audits,1,8.081684628654291e-05,5.482337712272024e-05,0.0007462686567164311,0.0007599628018169024,0.007862218118127502,99.9899781340743
20,Employee_Count,1,5.1648825210204305e-05,0.00012578158744148269,-0.0014096185737977032,0.0008930621570704146,0.005024624790577675,99.99500275886489
21,VAT_Paid,1,5.1367344763453285e-05,0.0001195146908561423,0.0011608623548922188,0.0009598538062015084,0.004997241135188575,100.00000000000007
22,Revenue_per_Employee,1,0.0,0.00015945757178099227,0.0009121061359867344,0.0018429610921138467,0.0,100.00000000000007
23,Annual_Expenses,1,0.0,0.00016468315285111723,0.0017412935323383172,0.0014925373134328326,0.0,100.00000000000007
