Batch,Model,Preprocessing,Feature_Set,Sampling_Technique,Best_Parameters,CV_PR_AUC,CV_PR_AUC_std,Validation_PR_AUC,Precision,Recall,F1,ROC_AUC,CV_Recall,CV_Precision,CV_F1,CV_ROC_AUC,Train_Time_s,Notes
Batch_2,LightGBM,None (unscaled),full,SMOTENC,"{'subsample': 0.7, 'num_leaves': 63, 'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.1, 'colsample_bytree': 0.7}",0.7812,0.0158,0.7761,0.8554,0.6107,0.7126,0.9147,0.6352,0.8449,0.7251,0.9086,47.8,SMOTENC applied only within training folds/final training fit
Batch_2,RandomForest,None (unscaled),full,,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': None}",0.7809,0.0125,0.7724,0.9302,0.5137,0.6619,0.914,0.5332,0.9413,0.6806,0.9081,426.5,Reused from Batch 1 (identical model/data/split) — not re-run
Batch_2,RandomForest,None (unscaled),full,ClassWeight_balanced,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': None}",0.775,0.013,0.766,0.9008,0.5423,0.677,0.9169,0.5782,0.8951,0.7025,0.9099,173.6,class_weight='balanced'
Batch_2,LightGBM,None (unscaled),full,SMOTEENN,"{'subsample': 0.7, 'num_leaves': 63, 'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.1, 'colsample_bytree': 0.7}",0.7745,0.0155,0.7637,0.7939,0.6517,0.7158,0.9113,0.6733,0.7784,0.722,0.9058,61.5,SMOTEENN applied only within training folds/final training fit
Batch_2,MLP,RobustScaler,full,RandomUnderSampler,"{'learning_rate_init': 0.001, 'hidden_layer_sizes': (50, 50), 'alpha': 0.01, 'activation': 'tanh'}",0.7574,0.007,0.7627,0.5008,0.7674,0.6061,0.9044,0.7879,0.4617,0.5812,0.8949,43.7,RandomUnderSampler applied only within training folds/final training fit
Batch_2,RandomForest,None (unscaled),full,RandomOverSampler,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': None}",0.7706,0.0138,0.7612,0.8496,0.597,0.7012,0.9178,0.6232,0.8477,0.7183,0.9082,219.2,RandomOverSampler applied only within training folds/final training fit
Batch_2,XGBoost,None (unscaled),full,SMOTETomek,"{'subsample': 0.7, 'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1, 'colsample_bytree': 0.7}",0.7722,0.0153,0.7608,0.86,0.5808,0.6934,0.9098,0.62,0.8598,0.7205,0.9039,64.2,SMOTETomek applied only within training folds/final training fit
Batch_2,RandomForest,None (unscaled),reduced_v2,,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': None}",0.7633,0.0131,0.7597,0.9422,0.4664,0.624,0.915,0.4692,0.9359,0.6249,0.9079,186.3,"Redundancy-removal test (reduced_v2), no sampling"
Batch_2,XGBoost,None (unscaled),full,SMOTENC,"{'subsample': 0.7, 'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1, 'colsample_bytree': 0.7}",0.7714,0.0156,0.759,0.8798,0.5734,0.6943,0.9059,0.6152,0.8619,0.7179,0.9045,43.9,SMOTENC applied only within training folds/final training fit
Batch_2,XGBoost,None (unscaled),full,SMOTEENN,"{'subsample': 0.7, 'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1, 'colsample_bytree': 0.7}",0.7676,0.0157,0.7557,0.7852,0.6318,0.7002,0.9076,0.6688,0.779,0.7196,0.9048,61.4,SMOTEENN applied only within training folds/final training fit
Batch_2,RandomForest,None (unscaled),reduced_v1,,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': None}",0.7592,0.012,0.7544,0.9299,0.4453,0.6022,0.9114,0.4591,0.9338,0.6155,0.9063,260.2,"Redundancy-removal test (reduced_v1), no sampling"
Batch_2,RandomForest,None (unscaled),full,SMOTENC,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': None}",0.7564,0.0164,0.7494,0.8969,0.5087,0.6492,0.9042,0.554,0.8851,0.6813,0.8982,387.9,SMOTENC applied only within training folds/final training fit
Batch_2,RandomForest,None (unscaled),full,RandomUnderSampler,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': None}",0.7487,0.0137,0.748,0.4585,0.7898,0.5802,0.9172,0.7916,0.4729,0.5919,0.9088,37.8,RandomUnderSampler applied only within training folds/final training fit
Batch_2,RandomForest,None (unscaled),full,SMOTETomek,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': None}",0.7557,0.017,0.7454,0.9,0.5149,0.6551,0.9026,0.5484,0.8838,0.6766,0.8977,399.5,SMOTETomek applied only within training folds/final training fit
Batch_2,RandomForest,None (unscaled),full,SMOTEENN,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': None}",0.7416,0.0223,0.7343,0.8364,0.5721,0.6795,0.8967,0.6048,0.8072,0.6914,0.8936,295.4,SMOTEENN applied only within training folds/final training fit
Batch_2,LogisticRegression,RobustScaler,reduced_v1,,"{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear'}",0.7255,0.013,0.7087,0.8769,0.4341,0.5807,0.889,0.445,0.8893,0.593,0.8879,2.8,"Redundancy-removal test (reduced_v1), no sampling"
Batch_2,LogisticRegression,RobustScaler,full,,"{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear'}",0.7255,0.0131,0.7087,0.8775,0.4366,0.5831,0.8889,0.4452,0.8894,0.5933,0.8879,29.7,Reused from Batch 1 (identical model/data/split) — not re-run
Batch_2,LogisticRegression,RobustScaler,reduced_v2,,"{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear'}",0.7255,0.0131,0.7086,0.8772,0.4353,0.5819,0.8888,0.446,0.8901,0.5941,0.8879,2.1,"Redundancy-removal test (reduced_v2), no sampling"
Batch_2,LogisticRegression,RobustScaler,full,SMOTENC,"{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear'}",0.712,0.0151,0.7009,0.7508,0.5958,0.6644,0.8823,0.6171,0.7541,0.6787,0.882,112.8,SMOTENC applied only within training folds/final training fit
Batch_2,LogisticRegression,RobustScaler,full,SMOTETomek,"{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear'}",0.7119,0.015,0.7007,0.7512,0.597,0.6653,0.8825,0.6171,0.7541,0.6787,0.882,82.7,SMOTETomek applied only within training folds/final training fit
Batch_2,MLP,RobustScaler,full,RandomOverSampler,"{'learning_rate_init': 0.001, 'hidden_layer_sizes': (50, 50), 'alpha': 0.01, 'activation': 'tanh'}",0.6968,0.0136,0.7005,0.5156,0.6779,0.5857,0.8584,0.6507,0.574,0.6097,0.857,1114.1,RandomOverSampler applied only within training folds/final training fit
Batch_2,LogisticRegression,RobustScaler,full,SMOTEENN,"{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear'}",0.6767,0.0134,0.6692,0.5165,0.7189,0.6011,0.8863,0.7279,0.5136,0.6022,0.8821,154.2,SMOTEENN applied only within training folds/final training fit
Batch_2,LogisticRegression,RobustScaler,full,ClassWeight_balanced,"{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear'}",0.6798,0.013,0.664,0.4338,0.7662,0.554,0.8896,0.7754,0.4327,0.5554,0.8848,27.2,class_weight='balanced'
Batch_2,LogisticRegression,RobustScaler,full,RandomUnderSampler,"{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear'}",0.6821,0.0129,0.6605,0.4366,0.7749,0.5585,0.8894,0.777,0.4356,0.5582,0.8851,1.0,RandomUnderSampler applied only within training folds/final training fit
Batch_2,LogisticRegression,RobustScaler,full,RandomOverSampler,"{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear'}",0.6782,0.0133,0.6604,0.4249,0.7637,0.546,0.8888,0.7748,0.4306,0.5536,0.8845,16.2,RandomOverSampler applied only within training folds/final training fit
Batch_3,XGBoost,None (unscaled),full,,threshold=0.630 (F0.5-optimal) | regularization-refined,,,,0.9574,0.5585,0.7054,,,,,,,"Threshold-tuned (F0.5-optimal, chosen via training-set OOF CV)"
